男肺活量,男肺活量,女肺活量,女肺活量,男50米跑,男50米跑,女50米跑,女50米跑,男体前屈,男体前屈,女体前屈,女体前屈,男跳远,男跳远,女跳远,女跳远,男引体,男引体,女仰卧,女仰卧,男1000米跑,男1000米跑,女800米跑,女800米跑
成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数,成绩,分数
4540,100,3150,100,7.1,100,7.8,100,23.6,100,24.2,100,260,100,204,100,16.0,100,53,100,3.3,100,3.24,100
4420,95,3100,95,7.2,95,7.9,95,21.5,95,22.5,95,255,95,198,95,15.0,95,51,95,3.35,95,3.3,95
4300,90,3050,90,7.3,90,8.0,90,19.4,90,20.8,90,250,90,192,90,14.0,90,49,90,3.4,90,3.36,90
4050,85,2900,85,7.4,85,8.3,85,17.2,85,19.1,85,243,85,185,85,13.0,85,46,85,3.47,85,3.43,85
3800,80,2750,80,7.5,80,8.6,80,15.0,80,17.4,80,235,80,178,80,12.0,80,43,80,3.55,80,3.5,80
3680,78,2650,78,7.7,78,8.8,78,13.6,78,16.1,78,231,78,175,78,,78,41,78,4.0,78,3.55,78
3560,76,2550,76,7.9,76,9.0,76,12.2,76,14.8,76,227,76,172,76,11.0,76,39,76,4.05,76,4.0,76
3440,74,2450,74,8.1,74,9.2,74,10.8,74,13.5,74,223,74,169,74,,74,37,74,4.1,74,4.05,74
3320,72,2350,72,8.3,72,9.4,72,9.4,72,12.2,72,219,72,166,72,10.0,72,35,72,4.15,72,4.1,72
3200,70,2250,70,8.5,70,9.6,70,8.0,70,10.9,70,215,70,163,70,,70,33,70,4.2,70,4.15,70
3080,68,2150,68,8.7,68,9.8,68,6.6,68,9.6,68,211,68,160,68,9.0,68,31,68,4.25,68,4.2,68
2960,66,2050,66,8.9,66,10.0,66,5.2,66,8.3,66,207,66,157,66,,66,29,66,4.3,66,4.25,66
2840,64,1950,64,9.1,64,10.2,64,3.8,64,7.0,64,203,64,154,64,8.0,64,27,64,4.35,64,4.3,64
2720,62,1850,62,9.3,62,10.4,62,2.4,62,5.7,62,199,62,151,62,,62,25,62,4.4,62,4.35,62
2600,60,1750,60,9.5,60,10.6,60,1.0,60,4.4,60,195,60,148,60,7.0,60,23,60,4.45,60,4.4,60
2470,50,1710,50,9.7,50,10.8,50,0.0,50,3.6,50,190,50,143,50,6.0,50,21,50,5.05,50,4.5,50
2340,40,1670,40,9.9,40,11.0,40,-1.0,40,2.8,40,185,40,138,40,5.0,40,19,40,5.25,40,5.0,40
2210,30,1630,30,10.1,30,11.2,30,-2.0,30,2.0,30,180,30,133,30,4.0,30,17,30,5.45,30,5.1,30
2080,20,1590,20,10.3,20,11.4,20,-3.0,20,1.2,20,175,20,128,20,3.0,20,15,20,6.05,20,5.2,20
1950,10,1550,10,10.5,10,11.6,10,-4.0,10,0.4,10,170,10,123,10,2.0,10,13,10,6.25,10,5.3,10
